"index","api_name","method","relative_path","full_url_example","module","purpose"
"1","health","GET","/v1/health","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/health","XdmGatewayService","runtime health check"
"2","login verifycode","GET","/v1/login/verifycode","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/login/verifycode","XdmGatewayService","bootstrap session cookie/xsrf"
"3","login","POST","/v1/login/login","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/login/login","XdmGatewayService","create xDM session"
"4","me","GET","/rdm/basic/api/rest/me","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/rdm/basic/api/rest/me","XdmGatewayService","current user profile"
"5","equipment list","POST","/dynamic/api/Equipment/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/list","equipment","query equipment list"
"6","equipment get","POST","/dynamic/api/Equipment/get","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/get","equipment","query equipment detail"
"7","equipment create","POST","/dynamic/api/Equipment/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/create","equipment","create equipment"
"8","equipment update","POST","/dynamic/api/Equipment/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/update","equipment","update equipment"
"9","equipment delete","POST","/dynamic/api/Equipment/delete","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/delete","equipment","delete equipment"
"10","part list","POST","/dynamic/api/Part/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/list","part","query/search part"
"11","part get","POST","/dynamic/api/Part/get","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/get","part","query part detail"
"12","part create","POST","/dynamic/api/Part/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/create","part","create part"
"13","part update","POST","/dynamic/api/Part/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/update","part","update part"
"14","part delete","POST","/dynamic/api/Part/delete","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/delete","part","delete part"
"15","part-part list","POST","/dynamic/api/Part_Part/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/list","bom","query BOM relations"
