"index","api_name","expected_method","expected_path","evidence_status","log_time","log_request_id","log_status","log_cost_ms","log_method","log_uri","log_file","log_line"
"1","health","GET","/v1/health","matched_200","2026-03-13T20:33:13.989+08:00","69b404094e205937","200","71","GET","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/health","xdm.log","10359"
"2","login verifycode","GET","/v1/login/verifycode","matched_200","2026-03-13T16:56:48.784+08:00","69b3d14f37631e68","200","789","GET","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/login/verifycode","xdm.log","3065"
"3","login","POST","/v1/login/login","matched_200","2026-03-13T16:56:49.082+08:00","69b3d15015e629da","200","280","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/v1/login/login","xdm.log","3075"
"4","me","GET","/rdm/basic/api/rest/me","matched_200","2026-03-13T20:33:14.041+08:00","69b40409146eccc1","200","85","GET","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/rdm/basic/api/rest/me","xdm.log","10360"
"5","equipment list","POST","/dynamic/api/Equipment/list","matched_200","2026-03-13T17:31:40.498+08:00","69b3d97ca7316a7b","200","40","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/list","xdm.log","4394"
"6","equipment get","POST","/dynamic/api/Equipment/get","matched_200","2026-03-13T20:33:33.761+08:00","69b4041d5529cc99","200","23","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/get","xdm.log","10366"
"7","equipment create","POST","/dynamic/api/Equipment/create","matched_200","2026-03-13T18:28:40.016+08:00","69b3e6d7010ae256","200","17","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/create","xdm.log","6057"
"8","equipment update","POST","/dynamic/api/Equipment/update","missing_sample","","","","","","","xdm.log",""
"9","equipment delete","POST","/dynamic/api/Equipment/delete","matched_200","2026-03-13T18:13:29.441+08:00","69b3e349ab3e1a5e","200","25","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Equipment/delete","xdm.log","5620"
"10","part list","POST","/dynamic/api/Part/list","matched_200","2026-03-13T17:19:48.818+08:00","69b3d6b4e8edef8e","200","51","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/list","xdm.log","4133"
"11","part get","POST","/dynamic/api/Part/get","matched_200","2026-03-13T17:22:23.189+08:00","69b3d74f9254957d","200","20","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/get","xdm.log","4204"
"12","part create","POST","/dynamic/api/Part/create","matched_200","2026-03-13T17:22:07.344+08:00","69b3d73f0845cb11","200","27","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/create","xdm.log","4192"
"13","part update","POST","/dynamic/api/Part/update","matched_200","2026-03-13T17:22:35.975+08:00","69b3d75b5a2713a0","200","37","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/update","xdm.log","4210"
"14","part delete","POST","/dynamic/api/Part/delete","matched_200","2026-03-13T17:23:32.518+08:00","69b3d79408168625","200","62","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part/delete","xdm.log","4242"
"15","part-part list","POST","/dynamic/api/Part_Part/list","matched_200","2026-03-13T18:06:45.288+08:00","69b3e1b50921117a","200","24","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/list","xdm.log","5326"
"16","part-part create","POST","/dynamic/api/Part_Part/create","matched_200","2026-03-13T18:07:26.923+08:00","69b3e1de11eac1a5","200","31","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/create","xdm.log","5338"
"17","part-part update","POST","/dynamic/api/Part_Part/update","missing_sample","","","","","","","xdm.log",""
"18","part-part delete","POST","/dynamic/api/Part_Part/delete","missing_sample","","","","","","","xdm.log",""
"19","procedure list","POST","/dynamic/api/WorkingProcedure/list","matched_200","2026-03-13T17:31:25.435+08:00","69b3d96d44226e2f","200","39","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/list","xdm.log","4385"
"20","procedure get","POST","/dynamic/api/WorkingProcedure/get","matched_200","2026-03-13T18:56:30.679+08:00","69b3ed5e5d712654","200","18","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/get","xdm.log","8021"
"21","procedure create","POST","/dynamic/api/WorkingProcedure/create","matched_200","2026-03-13T18:56:30.711+08:00","69b3ed5e1c50b436","200","20","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/create","xdm.log","8024"
"22","procedure update","POST","/dynamic/api/WorkingProcedure/update","matched_200","2026-03-13T17:49:23.196+08:00","69b3dda35d40598a","200","31","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/update","xdm.log","4612"
"23","procedure-equipment list","POST","/dynamic/api/WorkingProcedure_Equipment/list","matched_200","2026-03-13T17:50:13.005+08:00","69b3ddd4c04a651f","200","25","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure_Equipment/list","xdm.log","4635"
"24","workingplan list","POST","/dynamic/api/WorkingPlan/list","matched_200","2026-03-13T16:56:49.253+08:00","69b3d151f995685a","200","161","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/list","xdm.log","3078"
"25","workingplan get","POST","/dynamic/api/WorkingPlan/get","matched_200","2026-03-13T17:07:40.821+08:00","69b3d3dc43b02c61","200","42","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/get","xdm.log","3530"
"26","workingplan create","POST","/dynamic/api/WorkingPlan/create","matched_200","2026-03-13T17:06:45.725+08:00","69b3d3a57076be07","200","30","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/create","xdm.log","3334"
"27","workingplan update","POST","/dynamic/api/WorkingPlan/update","matched_200","2026-03-13T17:07:40.861+08:00","69b3d3dcb97bc81b","200","20","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/update","xdm.log","3702"
"28","workingplan delete","POST","/dynamic/api/WorkingPlan/delete","matched_200","2026-03-13T17:07:41.118+08:00","69b3d3dc39eaa6a3","200","120","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/delete","xdm.log","3713"
"29","plan-procedure list","POST","/dynamic/api/WorkingPlan_WorkingProcedure/list","matched_200","2026-03-13T17:09:53.226+08:00","69b3d461c9fa3e9c","200","28","POST","/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan_WorkingProcedure/list","xdm.log","4092"
